match_id,game_date,game_duration_min,champion,position,win,kills,deaths,assists,kda,cs,cs_per_min,gold,gold_per_min,damage,damage_per_min,vision_score,double_kills,triple_kills,quadra_kills,penta_kills,game_mode
KR_8375134678,2026-09-09 15:34:02.553,15.38,Syndra,MIDDLE,0,2,3,2,1.33,120,7.8,6550,425.79,9802,637.18,6,0,0,0,0,CLASSIC
KR_8375098445,2026-09-09 15:01:33.917,25.72,Nasus,MIDDLE,0,4,6,5,1.5,191,7.43,9509,369.76,21187,823.86,10,0,0,0,0,CLASSIC
KR_8375074812,2026-09-09 14:53:33.192,1.1,Lulu,UTILITY,0,0,0,0,0.0,0,0.0,507,460.91,0,0.0,0,0,0,0,0,CLASSIC
KR_8375018240,2026-09-09 14:08:47.956,35.12,Syndra,MIDDLE,0,7,13,16,1.77,203,5.78,14925,425.01,53268,1516.89,27,1,0,0,0,CLASSIC
KR_8374069270,2026-09-08 15:53:18.519,34.05,Hwei,MIDDLE,0,7,10,6,1.3,231,6.78,13470,395.59,39162,1150.13,32,1,0,0,0,CLASSIC
KR_8374043181,2026-09-08 15:27:43.646,20.37,Galio,MIDDLE,0,1,6,3,0.67,134,6.58,6272,307.95,8521,418.38,8,0,0,0,0,CLASSIC
KR_8373934931,2026-09-08 14:23:45.240,46.92,Syndra,MIDDLE,1,13,10,7,2.0,291,6.2,18554,395.47,46765,996.77,49,0,0,0,0,CLASSIC
KR_8373889728,2026-09-08 13:55:25.847,23.78,Vex,MIDDLE,1,3,6,10,2.17,178,7.48,8955,376.52,15692,659.79,25,0,0,0,0,CLASSIC
KR_8372868660,2026-09-07 14:45:45.431,23.07,Locke,MIDDLE,1,11,5,3,2.8,120,5.2,9481,411.03,16252,704.57,13,3,0,0,0,CLASSIC
KR_8372809301,2026-09-07 14:05:20.575,32.0,Diana,MIDDLE,1,4,11,17,1.91,206,6.44,12556,392.38,26725,835.16,20,0,0,0,0,CLASSIC
KR_8372743164,2026-09-07 13:26:59.219,33.9,Vex,MIDDLE,1,12,6,13,4.17,255,7.52,16325,481.56,40972,1208.61,29,3,1,0,0,CLASSIC
KR_8372665175,2026-09-07 12:46:28.854,35.0,Vex,MIDDLE,0,4,6,7,1.83,270,7.71,12430,355.14,49165,1404.71,33,0,0,0,0,CLASSIC
KR_8372601111,2026-09-07 12:10:17.538,29.95,Syndra,MIDDLE,0,9,5,7,3.2,269,8.98,14882,496.89,38067,1271.02,26,0,0,0,0,CLASSIC
KR_8371691640,2026-09-06 14:28:41.734,33.38,Syndra,MIDDLE,1,5,7,9,2.0,257,7.7,13256,397.08,34098,1021.41,26,0,0,0,0,CLASSIC
KR_8371608552,2026-09-06 13:45:04.760,33.97,Galio,MIDDLE,0,7,7,10,2.43,241,7.1,13375,393.77,25770,758.68,47,0,0,0,0,CLASSIC
KR_8371526646,2026-09-06 13:08:23.160,31.37,Jax,TOP,1,10,7,8,2.57,208,6.63,14072,448.63,37886,1207.84,18,1,0,0,0,CLASSIC
KR_8370173824,2026-09-05 15:59:38.411,29.07,Leblanc,MIDDLE,0,3,6,9,2.0,210,7.22,11304,388.9,25125,864.39,14,0,0,0,0,CLASSIC
KR_8370092571,2026-09-05 15:14:37.893,26.77,Diana,MIDDLE,1,11,5,4,3.0,236,8.82,13328,497.93,33348,1245.88,24,0,0,0,0,CLASSIC
